score,comments,crossposts,time_in_minutes
24072,1287,0,180
21294,2861,0,870
20553,485,4,150
20316,1465,0,960
15768,3761,0,840
14468,1599,0,90
13285,1132,0,900
12556,408,0,90
11615,405,0,1140
11527,968,0,1020
24073,1287,0,180
21297,2861,0,870
20557,485,4,150
20312,1465,0,960
15771,3761,0,840
14462,1599,0,90
13276,1132,0,900
12551,408,0,90
11618,405,0,1140
11536,968,0,1020
51234,1319,20,450
38631,926,5,480
29321,530,1,750
28903,1523,0,1050
26888,2041,7,840
26765,988,0,630
23250,1113,2,1080
23253,384,4,1320
22092,548,1,390
21894,585,0,960
23986,1037,4,810
22505,1886,7,900
21024,1357,1,1140
20895,1275,0,1200
19787,327,2,900
18857,487,0,780
18403,234,9,660
17920,1020,9,1260
17794,1571,2,600
17616,822,2,1230
199290,3873,13,240
155289,5564,48,780
124698,4788,29,1350
124374,10971,7,990
114559,3806,16,900
114423,3596,36,1260
113642,3201,46,1230
110992,4564,5,930
110526,9714,24,870
109320,2042,45,690
3928,1000,1,1170
3900,330,0,780
2992,1421,0,1170
2862,100,0,660
2791,979,0,1020
2763,288,3,120
2415,85,1,870
2239,119,0,840
2087,147,0,780
2055,516,0,180
214322,83017,29,990
156748,10303,20,810
153241,7953,20,900
147738,51528,21,90
136768,6094,9,1350
135306,16346,32,60
129743,6843,39,960
129208,5756,21,630
128709,2098,22,1170
127925,8283,25,810
8037,294,0,720
6680,197,2,510
4999,988,0,750
4899,283,4,180
4257,311,0,630
4202,195,0,780
4128,385,0,720
3799,292,0,1290
3726,118,1,300
3682,300,2,1050
70144,4289,16,1170
70002,1774,9,870
62494,9551,3,1320
59767,2513,0,990
59198,5071,1,1050
59112,2771,10,990
54936,1485,8,990
53056,1537,0,960
50217,1282,6,1350
49206,557,0,870
141726,2379,10,810
108089,2775,44,1260
103500,2105,9,1020
101456,1577,29,1050
101194,1711,51,1140
99369,1891,5,750
97120,1711,3,960
97050,1703,1,1140
96929,1193,27,0
93219,4031,5,0
268692,3591,133,990
240563,5562,11,1140
226512,2208,74,90
216494,6675,33,930
196767,1813,28,1200
193121,1447,44,870
182057,12132,5,1020
177458,4963,10,360
175221,4946,10,720
175178,9546,4,750
63535,1788,3,810
53342,1933,3,960
46170,1249,2,840
45855,1817,5,900
43363,1574,3,810
39777,1195,15,720
38896,1608,6,360
38054,2148,1,810
37454,1551,3,900
36838,1752,2,840
20456,1516,1,810
13441,585,4,1170
12891,274,2,1110
12522,317,3,930
12028,157,0,240
6820,100,1,1080
6499,203,5,1230
4618,109,3,1020
4466,288,2,1350
4357,82,0,1290
160580,790,21,540
95997,640,14,270
82608,1134,2,810
79742,1022,7,600
76539,458,18,840
74581,348,6,930
72559,321,8,180
72132,283,11,930
70502,254,8,990
69664,1304,24,960
438825,19296,113,990
271996,15867,64,1020
258411,8655,56,1230
255625,11851,52,810
250384,2001,87,240
248107,6764,70,1200
236308,5633,130,1080
235293,6018,30,930
231899,19191,73,780
230831,6068,21,30
11963,147,3,1380
8862,442,1,780
7643,270,0,810
6617,338,3,60
6443,472,3,1140
6405,251,1,1080
5585,122,0,660
5564,213,5,570
5442,209,2,1320
5279,113,6,780
22596,2150,0,780
15715,367,1,1290
11522,73,0,720
9329,231,0,240
6351,230,0,240
5647,314,1,750
5477,60,0,1020
5460,199,0,840
5415,135,0,570
5229,223,0,1200
25185,988,4,870
19833,1103,1,630
19179,2056,4,810
14825,828,2,810
14769,786,1,630
12270,1001,3,1230
12148,276,0,1380
11961,367,0,240
10988,428,0,870
10013,1011,3,810
204545,8507,258,1110
202902,20260,14,90
189360,18152,27,120
168667,9118,38,1410
154761,12116,19,1080
150312,7275,22,930
150305,7985,7,1050
148002,8263,21,930
146834,3981,24,750
146437,3047,6,1230
147231,10563,26,1050
140030,1554,0,0
129874,6988,16,930
128352,10337,83,810
121050,2566,1,1410
114342,2494,0,930
112297,6133,14,840
110092,5513,14,900
109147,3803,12,1170
109034,3832,13,1380
45222,673,2,750
44838,659,2,30
36772,2600,1,810
33632,941,0,810
33368,1773,1,840
32590,1869,0,750
32208,852,5,870
30527,312,0,900
29153,368,8,1230
29024,1092,3,1050
11753,1942,10,120
11142,2655,1,300
5121,1879,0,990
4332,3543,1,630
4296,466,4,240
4230,564,0,1350
4091,795,0,660
3734,735,0,1080
3587,483,0,420
3322,738,0,270
18605,632,0,690
13885,353,0,1140
13084,486,4,1140
11946,481,0,480
11813,1292,0,270
11099,1460,0,630
10321,1806,0,1050
9605,974,0,1350
9028,1106,10,1260
8710,993,0,180
3839,449,12,1050
2968,36,0,90
2411,185,0,1230
2036,100,0,240
1976,331,0,660
1563,218,0,270
1225,169,0,1320
1204,173,2,1260
993,40,0,1350
980,223,0,420
281749,11310,118,1260
187135,12138,143,300
176390,6071,6,1230
157044,6352,3,1020
153819,10217,31,1200
146024,4539,11,1410
143146,5305,20,1260
143142,5241,13,1320
140349,6617,22,630
136271,7394,30,960
67775,482,2,180
50367,7596,9,1050
43253,1739,4,120
42085,4385,4,780
41592,5934,6,1140
40145,1631,7,1110
38012,2599,3,480
36125,5963,4,1140
35605,2063,0,510
34878,1235,4,810
221860,7998,49,1260
197514,13467,20,600
195822,10385,30,840
186373,2818,34,120
182881,4384,5,1320
175335,28321,17,1200
160302,6806,10,1080
154305,15017,30,780
152071,8708,10,90
3951,42,2,210
2833,35,8,990
2512,138,0,180
2476,111,5,990
2371,76,0,390
2352,17,0,300
2331,26,1,750
2249,45,2,1200
2225,63,0,930
2154,240,11,1290
71672,866,12,1050
58841,87,0,90
5770,222,2,660
4179,108,2,930
3909,186,4,1140
3564,147,0,1380
3293,208,3,780
3089,90,1,990
3048,264,1,1080
48335,1438,0,870
38314,1226,16,690
34519,1641,8,540
34184,4069,10,630
29421,2309,7,780
26183,900,10,690
24232,1044,8,690
22404,1216,0,630
22185,930,0,300
21825,2695,2,690
274901,3650,208,90
253875,3347,21,1110
240440,2078,51,1230
214763,1663,80,720
201190,2584,170,900
192754,2519,27,1350
187249,1936,144,840
186583,1369,21,840
184659,1584,38,990
182929,2568,80,1110
36514,1878,28,390
27578,2486,6,420
19902,403,3,450
19711,819,2,720
18856,4127,45,360
18240,1473,1,780
18200,936,23,300
17063,461,27,510
16225,564,10,90
15946,889,5,960
