posting_hour,upvote_strength
18,0
22,0
6,0
16,0
0,0
6,0
19,0
13,0
5,0
21,0
14,0
4,0
21,0
16,0
4,0
5,0
19,0
18,0
8,0
19,0
4,0
17,0
22,0
10,0
1,0
17,0
2,0
18,0
20,0
20,0
9,0
12,0
15,0
9,0
16,0
4,0
13,0
1,0
17,0
19,0
14,0
4,0
21,0
7,0
17,0
11,0
4,0
19,0
16,0
8,0
3,0
22,0
9,0
20,0
5,0
5,0
9,0
4,0
17,0
17,0
14,0
15,0
9,0
20,0
3,0
3,0
3,0
17,0
12,0
0,0
13,0
22,0
10,0
5,0
11,0
21,0
19,0
9,0
21,0
18,0
13,0
15,0
7,0
20,0
16,0
1,0
0,0
15,0
9,0
14,0
1,0
5,0
17,0
20,0
14,0
16,0
0,0
0,0
22,0
15,0
14,0
9,0
5,0
15,0
4,0
17,0
18,0
1,0
23,0
13,0
21,0
17,0
13,0
10,0
11,0
21,0
22,0
14,0
18,0
1,0
13,0
1,0
15,0
15,0
21,0
21,0
16,0
7,0
12,0
21,0
21,0
21,0
3,0
21,0
3,0
21,0
16,0
11,0
19,0
17,0
21,0
22,0
4,0
16,0
23,0
16,0
17,0
18,0
21,0
17,0
3,0
23,0
18,0
13,0
17,0
11,0
16,0
17,0
1,0
22,0
21,0
15,0
14,0
10,0
15,0
21,0
4,0
23,0
15,0
18,0
7,0
19,0
2,0
9,0
3,0
13,0
20,0
7,0
5,0
3,0
12,0
16,0
16,0
19,0
23,0
10,0
2,0
0,0
18,0
2,0
6,0
16,0
0,0
18,0
11,0
20,0
13,0
4,0
9,0
2,0
4,0
21,0
20,0
23,0
6,0
19,0
20,0
12,0
19,0
4,0
6,0
11,0
16,0
21,0
18,0
18,0
13,0
2,0
9,0
2,0
14,0
2,0
13,0
6,0
4,0
8,0
6,0
8,0
16,0
20,0
19,0
6,0
19,0
11,0
17,0
17,0
14,0
20,0
13,0
18,0
2,0
21,0
3,0
22,0
17,0
10,0
16,0
7,0
17,0
17,0
13,0
14,0
17,0
15,0
16,0
12,0
1,0
23,0
7,0
15,0
8,0
21,0
13,0
20,0
9,0
1,0
0,0
4,0
16,0
21,0
17,0
23,0
2,0
1,0
2,0
1,0
21,0
2,0
15,0
17,0
13,0
17,0
4,0
12,0
23,0
13,0
0,0
0,0
12,0
6,0
15,0
0,0
19,0
3,0
1,0
8,0
11,0
3,0
23,0
10,0
19,0
5,0
20,0
5,0
16,0
12,0
14,0
13,0
8,0
11,0
23,0
12,0
21,0
18,0
18,0
21,0
17,0
9,0
15,0
15,0
13,0
4,0
18,0
8,0
22,0
14,0
23,0
15,0
10,0
2,0
23,0
16,0
16,0
1,0
20,0
7,0
16,0
11,0
8,0
10,0
10,0
13,0
18,0
17,0
18,0
2,0
15,0
0,0
13,0
16,0
15,0
15,0
13,0
19,0
21,0
12,0
17,0
12,0
3,0
10,0
17,0
23,0
10,0
23,0
16,0
23,0
21,0
18,0
16,0
2,0
2,0
13,0
18,0
16,0
23,0
16,0
7,0
3,0
19,0
9,0
23,0
13,0
7,0
16,0
19,0
20,0
23,0
15,0
4,0
0,0
